CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.5,0.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,621.0,265.0,0.0,1.0,1.0,0.0,263.5,1.0,356.0,0.08,0.02,5.134781488891349e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,612.0,244.0,0.0,0.0,2.0,0.5,245.5,2.0,356.0,0.07,0.02,5.134781488891349e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,19.5,0.0,1.17,0.0,0.0,0.0,61.23,0.0,1.31,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,1194.0,646.0,282.0,0.0,0.0,2.0,0.0,281.0,2.0,356.0,0.07,0.02,5.134781488891349e-14,default,code_service-code_app-code_scenario
0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.02,0.0,75.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,16.0,621.0,264.0,0.0,0.0,1.0,0.0,255.0,1.0,356.0,0.07,0.02,5.134781488891349e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.03,0.02,0.5,0.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,2.0,632.0,285.0,0.0,0.0,1.0,0.0,279.0,1.0,357.0,0.07,0.02,5.134781488891349e-14,default,code_service-code_app-code_scenario
0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,778.0,601.0,0.0,0.0,2.0,0.0,599.5,2.0,356.0,0.07,0.02,5.134781488891349e-14,default,code_service-code_app-code_scenario
0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,83.33,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,24.0,845.0,784.0,0.0,1.0,1.0,0.0,776.5,2.0,356.0,0.06,0.02,5.134781488891349e-14,default,code_service-code_app-code_scenario
0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,847.0,778.0,0.0,0.0,1.0,1.0,777.5,1.0,356.0,0.06,0.02,5.134781488891349e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,636.0,299.0,0.0,1.0,1.0,0.0,295.0,1.0,356.0,0.06,0.01,5.134781488891349e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,617.0,254.0,0.0,0.0,1.0,0.0,251.5,1.0,356.0,0.06,0.01,5.134781488891349e-14,default,code_service-code_app-code_scenario
