CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,145.1,58.5,64.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,666.0,338.0,0.0,0.0,1.0,0.5,328.5,2.0,382.0,0.52,0.16,5.2388648974499574e-14,default,code_service-code_app-code_scenario
1.27,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,21.5,0.0,1.52,0.0,8.51,0.0,72.56,0.0,1.58,0.2,0.0,2.78,134.28,43.0,52.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,1560.0,727.0,481.0,0.0,3.0,1.0,0.5,480.5,2.0,382.0,0.48,0.16,5.204170427930421e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.25,0.0,0.25,0.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,135.46,59.5,60.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,706.0,332.0,0.0,1.0,2.0,0.0,332.0,1.0,382.0,0.48,0.16,5.2388648974499574e-14,default,code_service-code_app-code_scenario
1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,17.0,1.0,0.07,0.04,0.0,89.47,4.0,38.0,1.18,2.0,0.2,0.0,13.32,157.87,90.0,91.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,38.0,758.0,498.0,0.0,2.0,1.0,6.5,473.5,1.0,384.0,0.44,0.16,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88,89.17,42.5,46.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,684.0,331.0,0.0,1.0,0.0,1.0,316.0,2.0,380.0,0.44,0.16,5.204170427930421e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,66.67,0.0,12.0,0.0,0.5,0.0,0.0,3.47,134.89,49.0,61.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,12.0,677.0,329.0,0.0,0.0,1.0,0.0,323.0,1.0,383.0,0.4,0.15,5.204170427930421e-14,default,code_service-code_app-code_scenario
7.3,0.0,1.26,0.25,0.0,0.25,0.0,0.0,8.81,0.0,2.0,7.5,0.02,0.11,0.0,67.39,12.0,14.4,2.5,1.27,1.4,0.01,290.79,200.86,429.5,356.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,108.0,2014.0,2536.0,0.0,10.0,3.0,1.0,2524.5,2.0,382.0,0.4,0.15,5.2388648974499574e-14,default,code_service-code_app-code_scenario
9.95,0.0,0.5,0.0,0.25,0.25,0.0,0.0,10.95,0.0,0.5,0.0,0.07,0.0,0.0,0.0,148.0,0.0,2.0,0.0,0.0,0.0,623.63,60.92,468.5,205.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,1308.0,1091.0,0.0,10.0,1.0,1.99,1079.6,6.0,383.0,0.4,0.15,5.2388648974499574e-14,default,code_service-code_app-code_scenario
4.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,5.75,0.0,0.0,16.5,0.0,0.08,0.0,15.38,0.0,4.85,0.0,0.91,0.0,0.0,30.36,159.2,129.5,130.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,80.0,860.0,638.0,0.0,5.0,1.0,0.5,661.0,1.0,388.0,0.61,0.2,5.204170427930421e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,77.78,0.0,18.0,0.0,1.0,0.0,0.0,3.99,137.06,57.5,64.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,18.0,710.0,369.0,0.0,1.0,1.0,1.0,370.5,1.0,384.0,0.61,0.2,5.204170427930421e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.0,0.0,3.08,149.42,47.5,59.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,2.0,740.0,440.0,0.0,0.0,2.0,0.5,440.0,2.0,384.0,0.56,0.2,5.204170427930421e-14,default,code_service-code_app-code_scenario
1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,102.88,38.0,47.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,863.0,798.0,0.0,3.0,0.0,1.0,804.5,2.0,382.0,0.56,0.2,5.204170427930421e-14,default,code_service-code_app-code_scenario
22.75,0.0,2.75,0.25,0.25,0.0,0.0,0.0,25.75,0.0,0.0,5.5,0.0,0.08,0.0,68.57,0.0,15.64,0.0,0.91,0.4,0.0,86.5,189.66,213.0,201.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,86.0,1241.0,1495.0,0.0,26.0,2.0,17.5,1489.5,2.0,394.0,0.52,0.19,5.204170427930421e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41,142.92,69.5,75.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,893.0,748.0,0.0,0.0,1.0,0.0,745.0,1.0,393.0,0.52,0.19,5.2735593669694936e-14,default,code_service-code_app-code_scenario
4.02,0.0,1.26,0.0,0.0,0.0,0.0,0.0,5.28,0.0,14.5,3.0,0.08,0.08,30.95,84.62,5.93,28.67,0.59,1.0,0.8,0.0,31.05,122.52,105.0,97.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,86.0,803.0,650.0,0.0,5.0,1.0,2.5,648.0,1.0,393.0,0.48,0.19,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,27.0,0.0,2.47,0.0,0.0,0.0,93.63,0.0,1.57,0.4,0.0,3.6,127.66,51.5,58.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,2528.0,726.0,376.0,0.0,1.0,1.0,0.5,378.0,1.0,393.0,0.48,0.19,5.2735593669694936e-14,default,code_service-code_app-code_scenario
4.99,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47,106.52,50.5,59.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,761.0,590.0,0.0,5.0,1.0,1.0,586.5,1.0,393.0,0.48,0.19,5.2388648974499574e-14,default,code_service-code_app-code_scenario
