CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.8,0.0,0.01,0.0,63.64,0.0,11.0,0.0,0.75,0.08,0.0,0.53,20.87,7.6,9.2,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,9.0,715.0,490.0,0.0,0.0,2.0,0.0,485.2,2.0,418.0,0.07,0.03,5.30825383648903e-14,default,code_service-code_app-code_scenario
0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.01,0.0,84.62,0.0,26.0,0.0,1.0,0.0,0.0,0.13,0.12,1.6,1.4,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,10.0,809.0,715.0,0.0,0.0,1.0,2.4,714.4,2.0,413.0,0.07,0.03,5.30825383648903e-14,default,code_service-code_app-code_scenario
0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.01,0.0,75.0,0.0,16.0,0.0,1.0,0.08,0.0,0.37,0.28,4.2,2.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,6.0,638.0,302.0,0.0,0.0,1.0,0.4,300.0,2.0,413.0,0.06,0.03,5.342948306008566e-14,default,code_service-code_app-code_scenario
0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,3.4,0.0,0.02,0.0,15.0,0.0,4.71,0.0,1.0,0.08,0.0,0.08,0.07,1.0,0.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,16.0,628.0,285.0,0.0,0.0,1.0,0.0,283.2,1.0,414.0,0.06,0.03,5.30825383648903e-14,default,code_service-code_app-code_scenario
0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,10.6,0.0,0.72,0.0,5.36,0.0,69.66,0.0,1.6,0.24,0.0,0.26,0.17,3.4,1.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,738.0,644.0,297.0,0.0,0.0,2.0,0.0,296.0,2.0,414.0,0.05,0.03,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.3,0.0,0.8,0.5,0.0,0.1,0.0,0.0,1.2,0.0,0.8,0.4,0.05,0.01,0.0,75.0,68.0,16.0,12.75,1.0,1.04,0.01,0.45,0.49,5.2,4.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,6.0,664.0,373.0,0.0,1.0,2.0,12.6,373.6,2.0,415.0,0.05,0.03,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.3,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.4,0.0,0.0,0.0,60.0,0.0,10.0,0.0,1.0,0.0,0.0,0.29,0.2,3.4,2.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,4.0,721.0,500.0,0.0,0.0,1.0,0.2,505.4,1.0,413.0,0.04,0.02,5.342948306008566e-14,default,code_service-code_app-code_scenario
0.2,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.0,60.0,0.0,10.0,0.0,0.5,0.0,0.0,0.06,0.06,0.8,0.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,4.0,803.0,696.0,0.0,0.0,2.0,0.0,694.6,2.0,416.0,0.04,0.02,5.342948306008566e-14,default,code_service-code_app-code_scenario
0.2,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,66.67,0.0,12.0,0.0,1.0,0.08,0.0,0.06,0.06,0.8,0.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,5.0,631.0,298.0,0.0,0.0,1.0,0.0,295.8,1.0,416.0,0.04,0.02,5.30825383648903e-14,default,code_service-code_app-code_scenario
0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,60.0,0.0,10.0,0.0,1.0,0.0,0.0,0.06,0.06,0.8,0.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,4.0,623.0,279.0,0.0,0.0,0.0,0.4,281.4,2.0,413.0,0.03,0.02,5.342948306008566e-14,default,code_service-code_app-code_scenario
0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,9.2,0.0,0.52,0.0,8.0,0.0,58.09,0.0,1.57,0.24,0.0,0.06,0.06,0.8,0.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,534.0,631.0,289.0,0.0,0.0,0.0,0.2,291.2,2.0,413.0,0.03,0.02,5.342948306008566e-14,default,code_service-code_app-code_scenario
