CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.8,0.0,0.7,0.0,0.1,0.0,0.0,0.0,2.6,0.0,0.0,0.4,0.0,0.0,0.0,66.67,0.0,12.0,0.0,0.5,0.0,0.0,0.14,0.18,1.8,2.2,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,5.0,699.0,450.0,0.0,2.0,1.0,7.0,447.6,1.0,441.0,0.21,0.06,5.5164206536062466e-14,default,code_service-code_app-code_scenario
2.3,0.0,0.7,0.1,0.1,0.1,0.0,0.0,3.2,0.0,0.2,8.8,0.0,0.6,0.0,18.52,4.0,69.73,1.0,1.7,0.32,0.0,0.09,0.07,1.4,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,614.0,696.0,484.0,0.0,3.0,1.0,5.2,482.2,1.0,438.0,0.2,0.06,5.447031714567174e-14,default,code_service-code_app-code_scenario
1.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.4,0.0,0.0,0.0,66.67,0.0,12.0,0.0,1.0,0.08,0.0,0.06,0.06,0.8,0.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,5.0,654.0,359.0,0.0,3.0,1.0,4.4,357.6,1.0,438.0,0.18,0.06,5.2735593669694936e-14,default,code_service-code_app-code_scenario
1.9,0.0,0.6,0.0,0.1,0.0,0.0,0.0,2.6,0.0,0.0,0.4,0.0,0.0,0.0,60.0,0.0,10.0,0.0,0.5,0.0,0.0,0.06,0.05,0.8,0.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,4.0,657.0,364.0,0.0,2.0,1.0,4.4,361.0,2.0,437.0,0.17,0.06,5.2735593669694936e-14,default,code_service-code_app-code_scenario
2.19,0.0,0.8,0.1,0.0,0.1,0.0,0.0,3.09,0.0,0.0,18.0,0.0,1.83,0.0,10.0,0.0,104.09,0.0,1.67,0.64,0.0,0.06,0.06,0.8,0.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,1874.0,816.0,682.0,0.0,3.0,1.0,5.0,680.6,1.0,433.0,0.15,0.06,5.2735593669694936e-14,default,code_service-code_app-code_scenario
2.3,0.0,0.6,0.0,0.2,0.0,0.0,0.0,3.1,0.0,0.0,0.4,0.0,0.0,0.0,60.0,0.0,10.0,0.0,1.0,0.08,0.0,0.06,0.06,0.8,0.8,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,4.0,778.0,651.0,0.0,3.0,0.0,4.8,654.4,2.0,435.0,0.14,0.06,5.30825383648903e-14,default,code_service-code_app-code_scenario
1.91,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.4,0.0,0.0,0.0,60.0,0.0,10.0,0.0,1.0,0.0,0.0,0.06,0.07,0.8,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,4.0,663.0,376.0,0.0,2.0,1.0,4.4,373.6,1.0,437.0,0.13,0.06,5.2735593669694936e-14,default,code_service-code_app-code_scenario
1.6,0.0,0.6,0.0,0.1,0.0,0.0,0.0,2.3,0.0,0.0,0.4,0.0,0.0,0.0,60.0,0.0,10.0,0.0,1.0,0.08,0.0,0.07,0.08,1.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,4.0,670.0,392.0,0.0,3.0,1.0,4.6,391.2,1.0,437.0,0.12,0.05,5.30825383648903e-14,default,code_service-code_app-code_scenario
1.7,0.0,0.9,0.1,0.1,0.0,0.0,0.0,2.7,0.0,0.0,0.4,0.0,0.0,0.0,60.0,0.0,10.0,0.0,1.0,0.08,0.0,0.04,0.04,0.6,0.6,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,4.0,662.0,373.0,0.0,3.0,1.0,4.4,370.4,2.0,438.0,0.11,0.05,5.2735593669694936e-14,default,code_service-code_app-code_scenario
1.9,0.0,0.5,0.0,0.1,0.0,0.0,0.0,2.5,0.0,0.0,0.6,0.0,0.01,0.0,76.92,0.0,17.33,0.0,1.33,0.08,0.0,0.07,0.19,1.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,10.0,646.0,347.0,0.0,3.0,0.0,4.8,348.4,2.0,435.0,0.1,0.05,5.30825383648903e-14,default,code_service-code_app-code_scenario
